288	VIEILLESSE TEMPS PARTIEL	TPS PARTI	E	15.45	2.42		01/01/2024
293	RG MAJO CDD USAGE <OU=3 MOIS U2	RG MAJO CDD <=3M CU	E		0.50		01/01/2020
296	CONTRAT ACCES EMPLOI MINISTERE DOM OM	CAE	A	6.90	0.70	0.00	01/01/2026
296	CONTRAT ACCES EMPLOI MINISTERE DOM OM	CAE	A	6.90	0.70	0.00	01/01/2024
297	CONTRAT ACCES EMPLOI DOM MIN.BUDGET OM	C.A.E BUDGET	A	6.90	0.70	0.00	01/01/2026
297	CONTRAT ACCES EMPLOI DOM MIN.BUDGET OM	C.A.E BUDGET	A	6.90	0.70	0.00	01/01/2024
298	CONTRAT ACCES EMPLOI MINISTERE DOM OM	CAE	E		100.00		01/01/2019
299	CAE CAS PART MINISTERE BUDGET OM	CAE CAS PART MIN AT	E		100.00		01/01/2019
300	VRP MULTICARTES	VRP MULTICARTES	D	13.80	13.26	0.79	01/01/2026
300	VRP MULTICARTES	VRP MULTICARTES	D	13.80	13.17	1.07	01/05/2025
302	EXO AIDE A DOMICILE/ACCUEIL FAMILIAL	ASSOC DOMI EXO	A	6.90	0.70	0.00	01/01/2026
302	EXO AIDE A DOMICILE/ACCUEIL FAMILIAL	ASSOC DOMI EXO	A	6.90	0.70	0.00	01/01/2024
308	RR RETRAITE BASE REG.SPEC. N-RESID	RR RET.B RS NON RES	E		3.20		01/01/2019
309	COMPLEMENT MALADIE PERSONNEL MEDICAL	MALADIE PERS.MEDIC.	E		6.00		01/01/2019
310	ICP AGRICOLE - SECU	ICP AGRICOLE - SECU	E	15.45	21.46		01/01/2026
310	ICP AGRICOLE - SECU	ICP AGRICOLE - SECU	E	15.45	13.76		01/05/2025
311	ICP AGRICOLE-COT IGRLAM	ICP AGRICOLE-IGRLAM	E		1.10		01/01/2014
312	ARTISTES CAS GENERAL ABATTEMENT 30%	ARTISTES 30%	A	10.82	9.38	0.00	01/01/2026
312	ARTISTES CAS GENERAL ABATTEMENT 30%	ARTISTES 30%	A	10.82	9.31	0.00	01/01/2024
313	ARTISTES CAS GENERAL ABATTEMENT 30% AL	ARTISTES	A	10.82	10.29	0.00	01/01/2026
313	ARTISTES CAS GENERAL ABATTEMENT 30% AL	ARTISTES	A	10.82	10.22	0.00	01/01/2024
314	ARTISTES AVEC DISPENSE PO ABATT 30%	ART. PP	A	5.99	9.10	0.00	01/01/2026
